image_name,image_path,num_roots_detected,root_lengths_pixels,total_length_pixels,mean_length_pixels,confidence_scores,mean_confidence,directory
1.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/1.JPG,2,"[0.0, 0.0]",0.0,0.0,"[0.9842545986175537, 0.7825356721878052]",0.8833951354026794,9976
10.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/10.JPG,4,"[27.313708498984756, 0.0, 67.11269837220806, 0.0]",94.42640687119281,23.606601717798203,"[0.9621325135231018, 0.8105432391166687, 0.7413376569747925, 0.7049028873443604]",0.8047290444374084,9976
11.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/11.JPG,9,"[333.2619766708766, 306.49242404917584, 0.0, 0.0, 220.9949493661173, 0.0, 0.0, 31.55634918610403, 0.0]",892.3056992722738,99.14507769691932,"[0.984931468963623, 0.920226514339447, 0.860614001750946, 0.8543487787246704, 0.8005887866020203, 0.798391580581665, 0.7480958104133606, 0.7391688823699951, 0.724850594997406]",0.8256906867027283,9976
12.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/12.JPG,3,"[0.0, 133.3553390593275, 0.0]",133.3553390593275,44.4517796864425,"[0.966658890247345, 0.8927678465843201, 0.8129895329475403]",0.8908054232597351,9976
13.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/13.JPG,3,"[250.6101730552669, 0.0, 0.0]",250.6101730552669,83.53672435175564,"[0.983747661113739, 0.8808498382568359, 0.728499710559845]",0.8643657565116882,9976
14.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/14.JPG,4,"[128.66904755831234, 0.0, 0.0, 0.0]",128.66904755831234,32.167261889578086,"[0.974343478679657, 0.8954504132270813, 0.8769719004631042, 0.8410331010818481]",0.8969497680664062,9976
15.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/15.JPG,4,"[0.0, 0.0, 185.9238815542516, 0.0]",185.9238815542516,46.4809703885629,"[0.9276912212371826, 0.9119698405265808, 0.821262001991272, 0.7068709135055542]",0.8419485092163086,9976
2.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/2.JPG,2,"[92.91168824543149, 249.2375900532365]",342.149278298668,171.074639149334,"[0.9856128096580505, 0.840822160243988]",0.9132174849510193,9976
3.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/3.JPG,3,"[0.0, 0.0, 0.0]",0.0,0.0,"[0.9526187181472778, 0.9129768013954163, 0.8040992617607117]",0.8898983001708984,9976
4.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/4.JPG,2,"[0.0, 0.0]",0.0,0.0,"[0.9616288542747498, 0.8537428975105286]",0.9076858758926392,9976
5.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/5.JPG,4,"[0.0, 43.213203435596405, 0.0, 115.25483399593921]",158.4680374315356,39.6170093578839,"[0.9345703125, 0.9217078685760498, 0.8429802060127258, 0.7345927953720093]",0.8584628105163574,9976
6.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/6.JPG,5,"[0.0, 0.0, 11.071067811865477, 0.0, 8.82842712474619]",19.899494936611667,3.9798989873223336,"[0.9610957503318787, 0.8807211518287659, 0.8694954514503479, 0.794878363609314, 0.7138838768005371]",0.8440149426460266,9976
7.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/7.JPG,3,"[177.53910524340122, 0.0, 0.0]",177.53910524340122,59.17970174780041,"[0.9810400009155273, 0.9450541734695435, 0.8950386047363281]",0.9403775334358215,9976
8.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/8.JPG,4,"[231.03657992646004, 128.02438661763978, 350.03152929257743, 0.0]",709.0924958366772,177.2731239591693,"[0.9932229518890381, 0.986362099647522, 0.9765082001686096, 0.9199652075767517]",0.9690146446228027,9976
9.JPG,/home/mvyas7/Root_phenotyping/Root_phenotyping/MaskRoot/Test_files/Root_files/9976/9.JPG,4,"[143.5391052434012, 48.14213562373093, 0.0, 2.8284271247461903]",194.5096679918783,48.627416997969576,"[0.9519526958465576, 0.9294164180755615, 0.9052757024765015, 0.7546098828315735]",0.8853136897087097,9976
